#SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup	ecosystem	isolate	latitude	longitude	season	condition	description
SRR10245305	SRR10245305_1.fastq	SRR10245305_2.fastq	Dikdik	Ruaha	Dikdik	7.3860	34.9563	Dry	Processed	Madoqua
SRR10245307	SRR10245307_1.fastq	SRR10245307_2.fastq	Topi	Serengeti	Topi	2.1540	34.6857	Rainy	Processed	Damaliscus lunatus korrigum
SRR10245309	SRR10245309_1.fastq	SRR10245309_2.fastq	Wildebeest	Serengeti	Wildebeest	2.1540	34.6857	Rainy	Fresh	Connochaetes taurinus
SRR10245310	SRR10245310_1.fastq	SRR10245310_2.fastq	Wildebeest	Serengeti	Wildebeest	2.1540	34.6857	Rainy	Fresh	Connochaetes taurinus
SRR10245311	SRR10245311_1.fastq	SRR10245311_2.fastq	Wildebeest	Serengeti	Wildebeest	2.1540	34.6857	Rainy	Fresh	Connochaetes taurinus
SRR10245313	SRR10245313_1.fastq	SRR10245313_2.fastq	Hare	Selous	Hare	9.0000	37.5000	Rainy	Fresh	Lepus
SRR10245314	SRR10245314_1.fastq	SRR10245314_2.fastq	Cattle	Selous	Cattle	9.0000	37.5000	Dry	Fresh	Bos
SRR10245317	SRR10245317_1.fastq	SRR10245317_2.fastq	Cattle	Selous	Cattle	9.0000	37.5000	Dry	Fresh	Bos
SRR10245320	SRR10245320_1.fastq	SRR10245320_2.fastq	Cattle	Selous	Cattle	9.0000	37.5000	Dry	Fresh	Bos
SRR10245323	SRR10245323_1.fastq	SRR10245323_2.fastq	Wildebeest	Selous	Wildebeest	9.0000	37.5000	Rainy	Processed	Connochaetes taurinus
SRR10245324	SRR10245324_1.fastq	SRR10245324_2.fastq	Dikdik	Ruaha	Dikdik	7.3860	34.9563	Dry	Fresh	Madoqua
SRR10245326	SRR10245326_1.fastq	SRR10245326_2.fastq	Dikdik	Ruaha	Dikdik	7.3860	34.9563	Dry	Fresh	Madoqua
SRR10245328	SRR10245328_1.fastq	SRR10245328_2.fastq	Dikdik	Ruaha	Dikdik	7.3860	34.9563	Dry	Fresh	Madoqua
SRR10245330	SRR10245330_1.fastq	SRR10245330_2.fastq	Impala	Selous	Impala	9.0000	37.5000	Dry	Processed	Aepyceros melampus
SRR10245332	SRR10245332_1.fastq	SRR10245332_2.fastq	Dikdik	Ruaha	Dikdik	7.3860	34.9563	Dry	Fresh	Madoqua
SRR10245333	SRR10245333_1.fastq	SRR10245333_2.fastq	Dikdik	Ruaha	Dikdik	7.3860	34.9563	Dry	Fresh	Madoqua
SRR10245335	SRR10245335_1.fastq	SRR10245335_2.fastq	Dikdik	Ruaha	Dikdik	7.3860	34.9563	Dry	Fresh	Madoqua
SRR10245336	SRR10245336_1.fastq	SRR10245336_2.fastq	Dikdik	Ruaha	Dikdik	7.3860	34.9563	Dry	Fresh	Madoqua
SRR10245337	SRR10245337_1.fastq	SRR10245337_2.fastq	Dikdik	Ruaha	Dikdik	7.3860	34.9563	Dry	Fresh	Madoqua
SRR10245338	SRR10245338_1.fastq	SRR10245338_2.fastq	Dikdik	Ruaha	Dikdik	7.3860	34.9563	Dry	Fresh	Madoqua
SRR10245339	SRR10245339_1.fastq	SRR10245339_2.fastq	Dikdik	Ruaha	Dikdik	7.3860	34.9563	Dry	Fresh	Madoqua
