#SampleID	BarcodeSequence	ForwardPrimerSequence	ReversePrimerSequence	ForwardRead	ReverseRead	origID	Sex	Time	DayID	DPW	Description
M4D021	NA	NA	NA	M4D21_S107_L001_R1_001.fastq.gz	M4D21_S107_L001_R2_001.fastq.gz	M4D21	Male	Early	D021	21	iMAPcasestudySet
M4D025	NA	NA	NA	M4D25_S108_L001_R1_001.fastq.gz	M4D25_S108_L001_R2_001.fastq.gz	M4D25	Male	Early	D025	25	iMAPcasestudySet
M4D045	NA	NA	NA	M4D45_S109_L001_R1_001.fastq.gz	M4D45_S109_L001_R2_001.fastq.gz	M4D45	Male	Early	D045	45	iMAPcasestudySet
M4D065	NA	NA	NA	M4D65_S110_L001_R1_001.fastq.gz	M4D65_S110_L001_R2_001.fastq.gz	M4D65	Male	Early	D065	65	iMAPcasestudySet
M4D125	NA	NA	NA	M4D125_S111_L001_R1_001.fastq.gz	M4D125_S111_L001_R2_001.fastq.gz	M4D125	Male	Late	D125	125	iMAPcasestudySet
M4D141	NA	NA	NA	M4D141_S112_L001_R1_001.fastq.gz	M4D141_S112_L001_R2_001.fastq.gz	M4D141	Male	Late	D141	141	iMAPcasestudySet
M4D142	NA	NA	NA	M4D142_S113_L001_R1_001.fastq.gz	M4D142_S113_L001_R2_001.fastq.gz	M4D142	Male	Late	D142	142	iMAPcasestudySet
M4D143	NA	NA	NA	M4D143_S114_L001_R1_001.fastq.gz	M4D143_S114_L001_R2_001.fastq.gz	M4D143	Male	Late	D143	143	iMAPcasestudySet
M4D144	NA	NA	NA	M4D144_S115_L001_R1_001.fastq.gz	M4D144_S115_L001_R2_001.fastq.gz	M4D144	Male	Late	D144	144	iMAPcasestudySet
M4D145	NA	NA	NA	M4D145_S116_L001_R1_001.fastq.gz	M4D145_S116_L001_R2_001.fastq.gz	M4D145	Male	Late	D145	145	iMAPcasestudySet
M4D146	NA	NA	NA	M4D146_S117_L001_R1_001.fastq.gz	M4D146_S117_L001_R2_001.fastq.gz	M4D146	Male	Late	D146	146	iMAPcasestudySet
M4D147	NA	NA	NA	M4D147_S118_L001_R1_001.fastq.gz	M4D147_S118_L001_R2_001.fastq.gz	M4D147	Male	Late	D147	147	iMAPcasestudySet
M4D148	NA	NA	NA	M4D148_S119_L001_R1_001.fastq.gz	M4D148_S119_L001_R2_001.fastq.gz	M4D148	Male	Late	D148	148	iMAPcasestudySet
M4D149	NA	NA	NA	M4D149_S120_L001_R1_001.fastq.gz	M4D149_S120_L001_R2_001.fastq.gz	M4D149	Male	Late	D149	149	iMAPcasestudySet
M4D150	NA	NA	NA	M4D150_S121_L001_R1_001.fastq.gz	M4D150_S121_L001_R2_001.fastq.gz	M4D150	Male	Late	D150	150	iMAPcasestudySet
M4D175	NA	NA	NA	M4D175_S122_L001_R1_001.fastq.gz	M4D175_S122_L001_R2_001.fastq.gz	M4D175	Male	Late	D175	175	iMAPcasestudySet
M4D364	NA	NA	NA	M4D364_S123_L001_R1_001.fastq.gz	M4D364_S123_L001_R2_001.fastq.gz	M4D364	Male	Late	D364	364	iMAPcasestudySet
M5D000	NA	NA	NA	M5D0_S124_L001_R1_001.fastq.gz	M5D0_S124_L001_R2_001.fastq.gz	M5D0	Male	Early	D000	0	iMAPcasestudySet
M5D001	NA	NA	NA	M5D1_S125_L001_R1_001.fastq.gz	M5D1_S125_L001_R2_001.fastq.gz	M5D1	Male	Early	D001	1	iMAPcasestudySet
M5D002	NA	NA	NA	M5D2_S126_L001_R1_001.fastq.gz	M5D2_S126_L001_R2_001.fastq.gz	M5D2	Male	Early	D002	2	iMAPcasestudySet
M5D003	NA	NA	NA	M5D3_S127_L001_R1_001.fastq.gz	M5D3_S127_L001_R2_001.fastq.gz	M5D3	Male	Early	D003	3	iMAPcasestudySet
M5D004	NA	NA	NA	M5D4_S128_L001_R1_001.fastq.gz	M5D4_S128_L001_R2_001.fastq.gz	M5D4	Male	Early	D004	4	iMAPcasestudySet
M5D005	NA	NA	NA	M5D5_S129_L001_R1_001.fastq.gz	M5D5_S129_L001_R2_001.fastq.gz	M5D5	Male	Early	D005	5	iMAPcasestudySet
M5D006	NA	NA	NA	M5D6_S130_L001_R1_001.fastq.gz	M5D6_S130_L001_R2_001.fastq.gz	M5D6	Male	Early	D006	6	iMAPcasestudySet
M5D007	NA	NA	NA	M5D7_S131_L001_R1_001.fastq.gz	M5D7_S131_L001_R2_001.fastq.gz	M5D7	Male	Early	D007	7	iMAPcasestudySet
M5D008	NA	NA	NA	M5D8_S132_L001_R1_001.fastq.gz	M5D8_S132_L001_R2_001.fastq.gz	M5D8	Male	Early	D008	8	iMAPcasestudySet
M5D009	NA	NA	NA	M5D9_S133_L001_R1_001.fastq.gz	M5D9_S133_L001_R2_001.fastq.gz	M5D9	Male	Early	D009	9	iMAPcasestudySet
M5D011	NA	NA	NA	M5D11_S134_L001_R1_001.fastq.gz	M5D11_S134_L001_R2_001.fastq.gz	M5D11	Male	Early	D011	11	iMAPcasestudySet
M5D013	NA	NA	NA	M5D13_S135_L001_R1_001.fastq.gz	M5D13_S135_L001_R2_001.fastq.gz	M5D13	Male	Early	D013	13	iMAPcasestudySet
M5D015	NA	NA	NA	M5D15_S136_L001_R1_001.fastq.gz	M5D15_S136_L001_R2_001.fastq.gz	M5D15	Male	Early	D015	15	iMAPcasestudySet
M5D017	NA	NA	NA	M5D17_S137_L001_R1_001.fastq.gz	M5D17_S137_L001_R2_001.fastq.gz	M5D17	Male	Early	D017	17	iMAPcasestudySet
M5D019	NA	NA	NA	M5D19_S138_L001_R1_001.fastq.gz	M5D19_S138_L001_R2_001.fastq.gz	M5D19	Male	Early	D019	19	iMAPcasestudySet
M5D021	NA	NA	NA	M5D21_S139_L001_R1_001.fastq.gz	M5D21_S139_L001_R2_001.fastq.gz	M5D21	Male	Early	D021	21	iMAPcasestudySet
M5D025	NA	NA	NA	M5D25_S140_L001_R1_001.fastq.gz	M5D25_S140_L001_R2_001.fastq.gz	M5D25	Male	Early	D025	25	iMAPcasestudySet
M5D045	NA	NA	NA	M5D45_S141_L001_R1_001.fastq.gz	M5D45_S141_L001_R2_001.fastq.gz	M5D45	Male	Early	D045	45	iMAPcasestudySet
M5D065	NA	NA	NA	M5D65_S142_L001_R1_001.fastq.gz	M5D65_S142_L001_R2_001.fastq.gz	M5D65	Male	Early	D065	65	iMAPcasestudySet
M5D124	NA	NA	NA	M5D124_S143_L001_R1_001.fastq.gz	M5D124_S143_L001_R2_001.fastq.gz	M5D124	Male	Late	D124	124	iMAPcasestudySet
M5D141	NA	NA	NA	M5D141_S144_L001_R1_001.fastq.gz	M5D141_S144_L001_R2_001.fastq.gz	M5D141	Male	Late	D141	141	iMAPcasestudySet
M5D142	NA	NA	NA	M5D142_S145_L001_R1_001.fastq.gz	M5D142_S145_L001_R2_001.fastq.gz	M5D142	Male	Late	D142	142	iMAPcasestudySet
M5D143	NA	NA	NA	M5D143_S146_L001_R1_001.fastq.gz	M5D143_S146_L001_R2_001.fastq.gz	M5D143	Male	Late	D143	143	iMAPcasestudySet
M5D144	NA	NA	NA	M5D144_S147_L001_R1_001.fastq.gz	M5D144_S147_L001_R2_001.fastq.gz	M5D144	Male	Late	D144	144	iMAPcasestudySet
M5D145	NA	NA	NA	M5D145_S148_L001_R1_001.fastq.gz	M5D145_S148_L001_R2_001.fastq.gz	M5D145	Male	Late	D145	145	iMAPcasestudySet
M5D146	NA	NA	NA	M5D146_S149_L001_R1_001.fastq.gz	M5D146_S149_L001_R2_001.fastq.gz	M5D146	Male	Late	D146	146	iMAPcasestudySet
M5D147	NA	NA	NA	M5D147_S150_L001_R1_001.fastq.gz	M5D147_S150_L001_R2_001.fastq.gz	M5D147	Male	Late	D147	147	iMAPcasestudySet
M5D148	NA	NA	NA	M5D148_S151_L001_R1_001.fastq.gz	M5D148_S151_L001_R2_001.fastq.gz	M5D148	Male	Late	D148	148	iMAPcasestudySet
M5D149	NA	NA	NA	M5D149_S152_L001_R1_001.fastq.gz	M5D149_S152_L001_R2_001.fastq.gz	M5D149	Male	Late	D149	149	iMAPcasestudySet
M5D150	NA	NA	NA	M5D150_S153_L001_R1_001.fastq.gz	M5D150_S153_L001_R2_001.fastq.gz	M5D150	Male	Late	D150	150	iMAPcasestudySet
M5D175	NA	NA	NA	M5D175_S154_L001_R1_001.fastq.gz	M5D175_S154_L001_R2_001.fastq.gz	M5D175	Male	Late	D175	175	iMAPcasestudySet
