#SampleID	BarcodeSequence	ForwardPrimerSequence	ReversePrimerSequence	ForwardRead	ReverseRead	origID	Sex	Time	DayID	DPW	Description
F3D065	NA	NA	NA	F3D65_S205_L001_R1_001.fastq.gz	F3D65_S205_L001_R2_001.fastq.gz	F3D65	Female	Early	D065	65	iMAPcasestudySet
F3D125	NA	NA	NA	F3D125_S206_L001_R1_001.fastq.gz	F3D125_S206_L001_R2_001.fastq.gz	F3D125	Female	Late	D125	125	iMAPcasestudySet
F3D141	NA	NA	NA	F3D141_S207_L001_R1_001.fastq.gz	F3D141_S207_L001_R2_001.fastq.gz	F3D141	Female	Late	D141	141	iMAPcasestudySet
F3D142	NA	NA	NA	F3D142_S208_L001_R1_001.fastq.gz	F3D142_S208_L001_R2_001.fastq.gz	F3D142	Female	Late	D142	142	iMAPcasestudySet
F3D143	NA	NA	NA	F3D143_S209_L001_R1_001.fastq.gz	F3D143_S209_L001_R2_001.fastq.gz	F3D143	Female	Late	D143	143	iMAPcasestudySet
F3D144	NA	NA	NA	F3D144_S210_L001_R1_001.fastq.gz	F3D144_S210_L001_R2_001.fastq.gz	F3D144	Female	Late	D144	144	iMAPcasestudySet
F3D145	NA	NA	NA	F3D145_S211_L001_R1_001.fastq.gz	F3D145_S211_L001_R2_001.fastq.gz	F3D145	Female	Late	D145	145	iMAPcasestudySet
F3D146	NA	NA	NA	F3D146_S212_L001_R1_001.fastq.gz	F3D146_S212_L001_R2_001.fastq.gz	F3D146	Female	Late	D146	146	iMAPcasestudySet
F3D147	NA	NA	NA	F3D147_S213_L001_R1_001.fastq.gz	F3D147_S213_L001_R2_001.fastq.gz	F3D147	Female	Late	D147	147	iMAPcasestudySet
F3D148	NA	NA	NA	F3D148_S214_L001_R1_001.fastq.gz	F3D148_S214_L001_R2_001.fastq.gz	F3D148	Female	Late	D148	148	iMAPcasestudySet
F3D149	NA	NA	NA	F3D149_S215_L001_R1_001.fastq.gz	F3D149_S215_L001_R2_001.fastq.gz	F3D149	Female	Late	D149	149	iMAPcasestudySet
F3D150	NA	NA	NA	F3D150_S216_L001_R1_001.fastq.gz	F3D150_S216_L001_R2_001.fastq.gz	F3D150	Female	Late	D150	150	iMAPcasestudySet
F3D364	NA	NA	NA	F3D364_S217_L001_R1_001.fastq.gz	F3D364_S217_L001_R2_001.fastq.gz	F3D364	Female	Late	D364	364	iMAPcasestudySet
F4D000	NA	NA	NA	F4D0_S218_L001_R1_001.fastq.gz	F4D0_S218_L001_R2_001.fastq.gz	F4D0	Female	Early	D000	0	iMAPcasestudySet
F4D001	NA	NA	NA	F4D1_S219_L001_R1_001.fastq.gz	F4D1_S219_L001_R2_001.fastq.gz	F4D1	Female	Early	D001	1	iMAPcasestudySet
F4D002	NA	NA	NA	F4D2_S220_L001_R1_001.fastq.gz	F4D2_S220_L001_R2_001.fastq.gz	F4D2	Female	Early	D002	2	iMAPcasestudySet
F4D003	NA	NA	NA	F4D3_S221_L001_R1_001.fastq.gz	F4D3_S221_L001_R2_001.fastq.gz	F4D3	Female	Early	D003	3	iMAPcasestudySet
F4D004	NA	NA	NA	F4D4_S222_L001_R1_001.fastq.gz	F4D4_S222_L001_R2_001.fastq.gz	F4D4	Female	Early	D004	4	iMAPcasestudySet
F4D005	NA	NA	NA	F4D5_S223_L001_R1_001.fastq.gz	F4D5_S223_L001_R2_001.fastq.gz	F4D5	Female	Early	D005	5	iMAPcasestudySet
F4D006	NA	NA	NA	F4D6_S224_L001_R1_001.fastq.gz	F4D6_S224_L001_R2_001.fastq.gz	F4D6	Female	Early	D006	6	iMAPcasestudySet
F4D007	NA	NA	NA	F4D7_S225_L001_R1_001.fastq.gz	F4D7_S225_L001_R2_001.fastq.gz	F4D7	Female	Early	D007	7	iMAPcasestudySet
F4D008	NA	NA	NA	F4D8_S226_L001_R1_001.fastq.gz	F4D8_S226_L001_R2_001.fastq.gz	F4D8	Female	Early	D008	8	iMAPcasestudySet
F4D009	NA	NA	NA	F4D9_S227_L001_R1_001.fastq.gz	F4D9_S227_L001_R2_001.fastq.gz	F4D9	Female	Early	D009	9	iMAPcasestudySet
F4D011	NA	NA	NA	F4D11_S228_L001_R1_001.fastq.gz	F4D11_S228_L001_R2_001.fastq.gz	F4D11	Female	Early	D011	11	iMAPcasestudySet
